playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,nextSeason
Abdelhamid Sabiri,/abdelhamid-sabiri/profil/spieler/340394,26,AM,Morocco,2500000,2500000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,ACF Fiorentina,/ac-florenz/startseite/verein/430,out,2022,0,26.0,1.86,right,ITA-Serie A,Sampdoria,Abdelhamid Sabiri,MAR,"MF,FW",24.0,1996.0,9.9,3,0,0.0,21,34.0,1.0,15.0,7.0,18.0,0.0,0.0,0.0,39.0,26.0,26.0,50.0,2022
Mikkel Damsgaard,/mikkel-damsgaard/profil/spieler/540941,22,LW,Denmark,13000000,15000000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Brentford FC,/fc-brentford/startseite/verein/1148,out,2022,-2000000,22.0,1.8,right,ITA-Serie A,Sampdoria,Mikkel Damsgaard,DEN,"MF,FW",21.0,2000.0,6.4,1,0,0.0,10,8.0,0.0,5.0,7.0,13.0,0.0,0.0,0.0,41.0,7.0,5.0,58.3,2022
Gianluca Caprari,/gianluca-caprari/profil/spieler/146752,28,SS,Italy,8000000,5000000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Hellas Verona,/hellas-verona/startseite/verein/276,out,2022,3000000,29.0,1.71,right,ITA-Serie A,Hellas Verona,Gianluca Caprari,ITA,"MF,FW",28.0,1993.0,30.4,4,0,0.0,42,74.0,14.0,108.0,4.0,25.0,1.0,0.0,0.0,164.0,8.0,27.0,22.9,2022
Morten Thorsby,/morten-thorsby/profil/spieler/226524,26,CM,Norway,5500000,3000000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89,out,2022,2500000,27.0,1.88,right,ITA-Serie A,Sampdoria,Morten Thorsby,NOR,MF,25.0,1996.0,32.7,10,0,0.0,81,37.0,0.0,0.0,25.0,26.0,0.0,0.0,0.0,151.0,166.0,135.0,55.1,2022
Omar Colley,/omar-colley/profil/spieler/174733,30,CB,The Gambia,3000000,2300000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Besiktas JK,/besiktas-istanbul/startseite/verein/114,out,2022,700000,30.0,1.91,left,ITA-Serie A,Sampdoria,Omar Colley,GAM,DF,28.0,1992.0,30.5,6,1,0.0,25,31.0,1.0,1.0,80.0,36.0,0.0,1.0,0.0,182.0,56.0,38.0,59.6,2022
Ernesto Torregrossa,/ernesto-torregrossa/profil/spieler/159883,30,CF,Venezuela,1800000,1800000,UC Sampdoria,/sampdoria-genua/startseite/verein/1038,Pisa Sporting Club,/ac-pisa-1909/startseite/verein/4172,out,2022,0,31.0,1.84,left,ITA-Serie A,Sampdoria,Ernesto Torregrossa,VEN,FW,29.0,1992.0,1.3,1,0,0.0,7,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,50.0,2022
Arkadiusz Reca,/arkadiusz-reca/profil/spieler/268178,27,LB,Poland,3000000,3900000,Atalanta BC,/atalanta-bergamo/startseite/verein/800,Spezia Calcio,/spezia-calcio/startseite/verein/3522,in,2022,-900000,28.0,1.87,left,ITA-Serie A,Spezia,Arkadiusz Reca,POL,DF,26.0,1995.0,19.7,3,0,0.0,23,13.0,0.0,37.0,32.0,19.0,0.0,1.0,0.0,98.0,18.0,28.0,39.1,2022
Kevin Agudelo,/kevin-agudelo/profil/spieler/587458,23,AM,Colombia,3000000,2800000,Genoa CFC,/genua-cfc/startseite/verein/252,Spezia Calcio,/spezia-calcio/startseite/verein/3522,in,2022,200000,24.0,1.78,left,ITA-Serie A,Spezia,Kevin Agudelo,COL,"MF,FW",22.0,1998.0,13.7,2,1,0.0,36,24.0,0.0,22.0,8.0,26.0,0.0,0.0,0.0,67.0,15.0,14.0,51.7,2022
Mehdi Bourabia,/mehdi-bourabia/profil/spieler/131731,30,DM,Morocco,1300000,1650000,US Sassuolo,/us-sassuolo/startseite/verein/6574,Spezia Calcio,/spezia-calcio/startseite/verein/3522,in,2022,-350000,31.0,1.83,right,ITA-Serie A,Spezia,Mehdi Bourabia,MAR,MF,29.0,1991.0,3.1,0,0,0.0,6,6.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,20.0,1.0,2.0,33.3,2022
Jakub Kiwior,/jakub-kiwior/profil/spieler/425918,22,CB,Poland,25000000,25000000,Spezia Calcio,/spezia-calcio/startseite/verein/3522,Arsenal FC,/fc-arsenal/startseite/verein/11,out,2022,0,23.0,1.89,left,ITA-Serie A,Spezia,Jakub Kiwior,POL,MF,21.0,2000.0,21.8,6,0,0.0,27,5.0,2.0,7.0,40.0,27.0,0.0,1.0,0.0,102.0,29.0,32.0,47.5,2022
