league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
ENG-Premier League,2017,Burnley,Jóhann Berg Guðmundsson,ISL,MF,26,1990,31.5,117,3.72,53,42,9,7,6,0,9,0.29,5,2,0,2,0,0,2018
ENG-Premier League,2017,Burnley,Kevin Long,IRL,DF,26,1990,16.0,10,0.62,8,0,0,1,0,1,3,0.19,3,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Matthew Lowton,ENG,DF,28,1989,25.5,34,1.33,25,3,0,1,4,1,5,0.20,5,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Nahki Wells,BER,"FW,MF",27,1990,0.6,1,1.64,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Nick Pope,ENG,GK,25,1992,34.6,11,0.32,8,3,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Phil Bardsley,SCO,DF,32,1985,12.5,14,1.12,12,2,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Robbie Brady,IRL,MF,25,1992,14.2,59,4.16,19,30,3,4,2,1,5,0.35,3,1,0,1,0,0,2018
ENG-Premier League,2017,Burnley,Sam Vokes,WAL,FW,27,1989,11.1,20,1.80,14,0,0,2,4,0,1,0.09,0,0,0,1,0,0,2018
ENG-Premier League,2017,Burnley,Scott Arfield,CAN,"MF,FW",28,1988,14.8,22,1.49,14,0,3,3,2,0,3,0.20,1,0,1,0,1,0,2018
ENG-Premier League,2017,Burnley,Stephen Ward,IRL,DF,31,1985,27.3,24,0.88,19,1,2,0,2,0,2,0.07,1,0,1,0,0,0,2018
ENG-Premier League,2017,Burnley,Steven Defour,BEL,MF,29,1988,22.2,45,2.03,40,0,1,4,0,0,3,0.14,3,0,0,0,0,0,2018
ENG-Premier League,2017,Burnley,Tom Heaton,ENG,GK,31,1986,3.4,2,0.59,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Andreas Christensen,DEN,DF,21,1996,23.2,17,0.74,14,0,0,2,0,1,2,0.09,2,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Antonio Rüdiger,GER,DF,24,1993,26.0,18,0.69,16,0,0,2,0,0,4,0.15,4,0,0,0,0,0,2018
ENG-Premier League,2017,Chelsea,Callum Hudson-Odoi,ENG,"FW,DF",16,2000,0.3,2,6.21,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2018
