playerName,playerLink,playerAge,playerPos,playerCountry,playerMarketValue,transferFee,clubLeft,clubLeftUrl,clubJoined,clubJoinedUrl,teamTransferType,season,valuation,currAge,height,foot,league,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,nextSeason
Soualiho Meïté,/soualiho-meite/profil/spieler/164913,24,CM,France,3500000,11500000,AS Monaco,/as-monaco/startseite/verein/162,Torino FC,/fc-turin/startseite/verein/416,out,2018,-8000000,29.0,1.87,right,FRA-Ligue 1,Monaco,Soualiho Meïté,FRA,MF,23.0,1994.0,1.1,1.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Adama Diakhaby,/adama-diakhaby/profil/spieler/453594,22,RW,France,600000,10000000,AS Monaco,/as-monaco/startseite/verein/162,Huddersfield Town,/huddersfield-town/startseite/verein/1110,out,2018,-9400000,26.0,1.84,left,FRA-Ligue 1,Monaco,Adama Diakhaby,FRA,FW,21.0,1996.0,9.4,16.0,1.69,9.0,0.0,2.0,0.0,4.0,1.0,4.0,0.42,3.0,0.0,0.0,0.0,1.0,0.0,2018
João Moutinho,/joao-moutinho/profil/spieler/29364,31,CM,Portugal,1500000,5600000,AS Monaco,/as-monaco/startseite/verein/162,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543,out,2018,-4100000,36.0,1.7,right,FRA-Ligue 1,Monaco,João Moutinho,POR,MF,30.0,1986.0,31.1,101.0,3.24,68.0,29.0,1.0,1.0,2.0,0.0,13.0,0.42,7.0,6.0,0.0,0.0,0.0,0.0,2018
Almamy Touré,/almamy-toure/profil/spieler/216181,22,CB,Mali,2500000,750000,AS Monaco,/as-monaco/startseite/verein/162,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24,out,2018,1750000,27.0,1.83,right,FRA-Ligue 1,Monaco,Almamy Touré,MLI,DF,21.0,1996.0,13.9,32.0,2.31,27.0,2.0,3.0,0.0,0.0,0.0,9.0,0.65,7.0,0.0,2.0,0.0,0.0,0.0,2018
Gaëtan Laborde,/gaetan-laborde/profil/spieler/181378,24,CF,France,16000000,3000000,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,13000000,29.0,1.81,left,FRA-Ligue 1,Bordeaux,Gaëtan Laborde,FRA,FW,23.0,1994.0,10.6,24.0,2.26,14.0,0.0,1.0,6.0,3.0,0.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,2018
Florent Mollet,/florent-mollet/profil/spieler/222859,26,AM,France,2000000,2600000,FC Metz,/fc-metz/startseite/verein/347,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,-600000,31.0,1.75,right,FRA-Ligue 1,Metz,Florent Mollet,FRA,"MF,FW",25.0,1991.0,15.7,48.0,3.06,26.0,9.0,6.0,3.0,4.0,0.0,5.0,0.32,3.0,0.0,1.0,1.0,0.0,0.0,2018
Junior Sambia,/junior-sambia/profil/spieler/335147,21,RB,France,3500000,2000000,Chamois Niortais FC,/chamois-niortais-fc/startseite/verein/1161,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,1500000,26.0,1.85,right,FRA-Ligue 1,Montpellier,Junior Sambia,FRA,MF,20.0,1996.0,17.1,79.0,4.61,36.0,23.0,6.0,6.0,7.0,1.0,7.0,0.41,5.0,1.0,1.0,0.0,0.0,0.0,2018
Facundo Píriz,/facundo-piriz/profil/spieler/148607,28,DM,Uruguay,300000,1000000,Akhmat Grozny,/akhmat-grozny/startseite/verein/3725,Montpellier HSC,/montpellier-hsc/startseite/verein/969,in,2018,-700000,33.0,1.87,right,FRA-Ligue 1,Montpellier,Facundo Píriz,URU,MF,27.0,1990.0,9.0,8.0,0.89,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Nordi Mukiele,/nordi-mukiele/profil/spieler/348026,20,RB,France,18000000,16000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826,out,2018,2000000,25.0,1.87,right,FRA-Ligue 1,Montpellier,Nordi Mukiele,FRA,DF,19.0,1997.0,31.0,70.0,2.26,57.0,5.0,2.0,1.0,2.0,3.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,2018
Jérôme Roussillon,/jerome-roussillon/profil/spieler/127076,25,LB,Guadeloupe,3000000,5000000,Montpellier HSC,/montpellier-hsc/startseite/verein/969,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82,out,2018,-2000000,30.0,1.72,left,FRA-Ligue 1,Montpellier,Jérôme Roussillon,FRA,DF,24.0,1993.0,20.9,64.0,3.06,40.0,5.0,14.0,1.0,4.0,0.0,9.0,0.43,6.0,0.0,1.0,1.0,1.0,0.0,2018
