league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
GER-Bundesliga,2020,RB Leipzig,25,34.0,460,305,167,229,64,190,460,41.3,270,336,63,273,353,813,504,5,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats,2021
GER-Bundesliga,2020,Schalke 04,42,34.0,552,337,283,224,45,203,546,37.2,343,437,143,294,411,963,693,12,/en/squads/c539e393/2020-2021/Schalke-04-Stats,2021
GER-Bundesliga,2020,Stuttgart,29,34.0,496,294,227,201,68,235,531,44.3,296,379,108,271,426,922,654,8,/en/squads/598bc722/2020-2021/Stuttgart-Stats,2021
GER-Bundesliga,2020,Union Berlin,27,34.0,503,283,240,218,45,232,501,46.3,269,367,85,282,405,908,605,9,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats,2021
GER-Bundesliga,2020,Werder Bremen,27,34.0,542,333,270,217,55,228,556,41.0,328,368,101,267,407,949,798,10,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats,2021
GER-Bundesliga,2020,Wolfsburg,26,34.0,594,363,271,256,67,271,599,45.2,328,465,79,386,477,1071,700,6,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats,2021
GER-Bundesliga,2021,Arminia,26,34.0,549,311,270,235,44,238,543,43.8,305,395,110,285,421,970,770,7,/en/squads/247c4b67/2021-2022/Arminia-Stats,2022
GER-Bundesliga,2021,Augsburg,26,34.0,561,335,254,236,71,250,584,42.8,334,397,116,281,363,924,769,12,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,2022
GER-Bundesliga,2021,Bayern Munich,30,34.0,563,338,231,237,95,259,559,46.3,300,338,68,270,349,912,404,18,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,2022
GER-Bundesliga,2021,Bochum,28,34.0,566,353,298,199,69,277,574,48.3,297,420,119,301,429,995,616,13,/en/squads/b42c6323/2021-2022/Bochum-Stats,2022
GER-Bundesliga,2021,Dortmund,33,34.0,541,322,232,236,73,255,550,46.4,295,351,82,269,347,888,519,11,/en/squads/add600ae/2021-2022/Dortmund-Stats,2022
GER-Bundesliga,2021,Eint Frankfurt,27,34.0,595,330,260,252,83,283,673,42.1,390,435,95,340,377,972,592,12,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,2022
GER-Bundesliga,2021,Freiburg,26,34.0,518,299,246,207,65,215,477,45.1,262,352,130,222,355,873,751,13,/en/squads/a486e511/2021-2022/Freiburg-Stats,2022
GER-Bundesliga,2021,Greuther Fürth,29,34.0,568,336,258,252,58,270,567,47.6,297,416,124,292,374,942,712,8,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,2022
GER-Bundesliga,2021,Hertha BSC,36,34.0,546,321,294,197,55,252,544,46.3,292,377,105,272,406,952,816,15,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,2022
GER-Bundesliga,2021,Hoffenheim,32,34.0,483,291,191,216,76,223,484,46.1,261,390,88,302,285,768,520,17,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats,2022
GER-Bundesliga,2021,Köln,26,34.0,598,361,264,246,88,288,665,43.3,377,442,99,343,426,1024,628,10,/en/squads/bc357bf7/2021-2022/Koln-Stats,2022
GER-Bundesliga,2021,Leverkusen,29,34.0,484,281,235,199,50,225,493,45.6,268,350,101,249,360,844,620,12,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats,2022
GER-Bundesliga,2021,M'Gladbach,26,34.0,572,345,260,252,60,285,615,46.3,330,402,91,311,326,898,553,13,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,2022
GER-Bundesliga,2021,Mainz 05,28,34.0,579,305,291,220,68,282,595,47.4,313,404,94,310,439,1018,584,9,/en/squads/a224b06a/2021-2022/Mainz-05-Stats,2022
GER-Bundesliga,2021,RB Leipzig,29,34.0,499,289,218,222,59,219,512,42.8,293,399,81,318,349,848,523,12,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats,2022
GER-Bundesliga,2021,Stuttgart,34,34.0,532,307,231,236,65,241,530,45.5,289,386,124,262,342,874,708,8,/en/squads/598bc722/2021-2022/Stuttgart-Stats,2022
GER-Bundesliga,2021,Union Berlin,28,34.0,538,296,266,223,49,268,568,47.2,300,322,90,232,376,914,657,7,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats,2022
GER-Bundesliga,2021,Wolfsburg,30,34.0,539,298,278,201,60,257,540,47.6,283,388,103,285,388,927,740,9,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats,2022
GER-Bundesliga,2022,Augsburg,34,34.0,522,299,251,202,69,232,479,48.4,247,429,126,303,286,808,755,14,/en/squads/0cdc4311/Augsburg-Stats,2023
